Symbol,Sector,Closed trades,Win rate %,Median trade %,Median hold (sessions),Held % of sessions,Buy & hold %,First bar
AAPL,Technology,2,50.0,-2.4745965787871746,7.0,1.2455516014234875,97.35620703836439,2022-04-01
ADBE,Technology,4,25.0,-2.2341096194008925,8.5,3.0249110320284696,-47.487912087912086,2022-04-01
AFRM,Financials,11,54.54545454545454,1.2880874989404045,14.0,14.501779359430605,53.55074018450976,2022-04-01
AMZN,Consumer Discretionary,7,28.57142857142857,-1.2214968651474978,5.0,2.6690391459074734,51.92202254035942,2022-04-01
ANET,Technology,15,40.0,-1.5308639197198715,5.0,10.231316725978647,486.3740022805017,2022-04-01
AMD,Technology,15,26.666666666666668,-3.357373433923705,7.0,10.676156583629894,469.5691527878349,2022-04-01
APP,Communication Services,20,50.0,0.319393104244875,10.5,29.00355871886121,465.65894279507603,2022-04-01
AVAV,Industrials,15,33.33333333333333,-2.6388369599703587,9.0,15.747330960854091,68.15144766146994,2022-04-01
AVGO,Technology,11,63.63636363636363,0.5636483332335906,5.0,7.295373665480427,497.98600443761734,2022-04-01
BIIB,Health Care,13,38.46153846153847,-1.9547984483049397,5.0,10.231316725978647,6.527365993693812,2022-04-01
BKR,Energy,13,46.15384615384615,-0.22987862047534335,5.0,6.227758007117438,72.66425557564797,2022-04-01
CDNS,Technology,4,75.0,0.6837555757374436,7.5,4.448398576512456,95.15151515151514,2022-04-01
COIN,Financials,7,57.14285714285714,5.208243692406334,8.0,8.09608540925267,4.924681344148318,2022-04-01
CRM,Technology,4,50.0,0.9963498422000339,5.0,2.224199288256228,14.254196642685857,2022-04-01
CRWV,Technology,0,,,,0.0,131.1025641025641,2025-03-28
CVLT,Technology,7,71.42857142857143,0.6215719022351962,10.0,7.206405693950178,125.52999548940006,2022-04-01
DASH,Communication Services,19,47.368421052631575,-0.7270231322437648,5.0,14.05693950177936,57.85353535353537,2022-04-01
ENPH,Technology,3,33.33333333333333,-0.674401707304062,19.0,9.252669039145907,-83.67407849574691,2022-04-01
FIG,Technology,0,,,,0.0,-74.89411764705882,2025-07-31
FTNT,Technology,12,33.33333333333333,-1.7306518134157844,5.0,8.629893238434164,161.97947214076245,2022-04-01
GOOGL,Communication Services,18,55.55555555555556,0.2532827763896406,8.0,13.612099644128115,147.7458571531949,2022-04-01
GTLB,Technology,5,40.0,-1.8668808978013929,5.0,5.604982206405694,-10.657846380007364,2022-04-01
HAL,Energy,16,18.75,-4.48221645086862,6.5,13.078291814946619,-5.427251732101624,2022-04-01
HIMS,Health Care,15,46.666666666666664,-0.9200078272242895,9.0,16.548042704626333,441.2199630314233,2022-04-01
HOOD,Financials,19,47.368421052631575,-1.2691968291095979,9.0,24.288256227758005,792.3190546528805,2022-04-01
INTU,Technology,1,100.0,3.387756773548345,4.0,0.3558718861209964,-40.34313514444396,2022-04-01
IREN,Energy,7,71.42857142857143,12.208041227890432,5.0,7.02846975088968,192.82994923857868,2022-04-01
LRCX,Technology,8,50.0,-1.9804014290691896,3.5,3.3807829181494666,493.77537212449266,2022-04-01
MCK,Health Care,15,66.66666666666666,0.49592700173404225,9.0,21.530249110320284,190.07674341007674,2022-04-01
MRK,Health Care,15,60.0,0.5270431323371572,14.0,20.462633451957295,105.98552338530065,2022-04-01
META,Communication Services,13,38.46153846153847,-1.0240007747440383,9.0,19.395017793594306,249.60435212660735,2022-04-01
MRVL,Technology,8,37.5,-1.8289196886239312,4.5,7.295373665480427,265.80025427320237,2022-04-01
MSFT,Technology,3,100.0,0.46376198574464844,5.0,1.7793594306049825,67.05136377361023,2022-04-01
MU,Technology,17,52.94117647058824,0.06235199245707701,5.0,14.05693950177936,1309.325681492109,2022-04-01
NFLX,Communication Services,20,40.0,-0.7690390129121316,6.0,14.590747330960854,90.33970276008492,2022-04-01
NOW,Technology,4,75.0,2.3190520327962427,3.0,2.491103202846975,23.880597014925375,2022-04-01
NVDA,Technology,18,55.55555555555556,0.6503164828948638,9.5,16.370106761565836,723.8444607483492,2022-04-01
ORCL,Technology,9,77.77777777777779,1.2920030023874762,5.0,5.604982206405694,78.48554617549243,2022-04-01
PANW,Technology,7,71.42857142857143,1.4555268166825064,7.0,6.316725978647687,276.5523901496862,2022-04-01
RCL,Consumer Discretionary,15,53.333333333333336,0.7005540695002921,8.0,11.298932384341636,193.11909726481048,2022-04-01
REGN,Health Care,16,37.5,-0.8462370652742301,5.0,15.391459074733097,14.492420101832405,2022-04-01
SLB,Energy,9,55.55555555555556,1.6644085714459411,11.0,10.587188612099645,38.40150699677074,2022-04-01
SNOW,Technology,5,60.0,1.2572659389453955,6.0,4.092526690391459,45.65435436745018,2022-04-01
SOFI,Financials,10,60.0,1.7347647292364488,5.0,9.252669039145907,77.40232312565998,2022-04-01
TEAM,Technology,1,100.0,4.461094414434208,4.0,3.3807829181494666,-35.154698178635144,2022-04-01
TSLA,Consumer Discretionary,9,22.22222222222222,-1.609919691547379,10.0,10.320284697508896,4.8726344414229406,2022-04-01
UBER,Consumer Discretionary,13,23.076923076923077,-1.9688746461362427,5.0,9.341637010676157,94.00224215246638,2022-04-01
UI,Technology,11,63.63636363636363,0.5517005108749418,6.0,13.612099644128115,100.98151188521665,2022-04-01
UNH,Health Care,12,50.0,-0.0054223273305953334,10.0,12.544483985765126,-20.11885996677033,2022-04-01
UPST,Financials,6,50.0,-4.263886108294185,13.5,11.387900355871885,-77.44828848617975,2022-04-01
VEEV,Technology,5,60.0,0.7520756554370012,14.0,5.782918149466192,29.88657844990548,2022-04-01
VRT,Industrials,21,61.904761904761905,3.1595191429407032,7.0,24.110320284697508,1573.2605729877218,2022-04-01
ZS,Technology,11,36.36363636363637,-1.1682957026882823,8.0,11.032028469750891,-10.566666666666668,2022-04-01
UMAC,Technology,4,25.0,-17.626049306089165,5.0,3.558718861209965,498.25,2024-02-14
NOC,Industrials,14,28.57142857142857,-2.039826496014391,9.0,18.86120996441281,22.58375279978806,2022-04-01
