Strategy,Period,Start,End,Total Return %,CAGR %,Sharpe,Max DD %,Trades,Win rate %,Median trade %,Median hold (sessions)
C6-U96-T20-MW30-E5,Walk-forward,2022-04-01,2026-09-24,399.8954039674841,43.44592211911977,1.3482921110518225,-30.76083412250883,1021.0,45.45454545454545,-0.7436471922786347,6.0
C6-U96-T20-MW30-E5,Never-seen 2022-04 → 2024-09,2022-04-01,2024-09-16,33.19619633804138,12.420608305966363,0.5957529206177088,-29.331728307011208,,,,
C6-U96-T20-MW30-E5,Last 2 years,2024-09-24,2026-09-24,257.32698678822936,89.51109164574274,1.9744011828860457,-30.76083412250883,,,,
C6-U96-T20-MW30-E5,Last 1 year,2025-09-24,2026-09-24,52.816503987219335,52.816503987219335,1.3897361721483623,-23.52849390882494,,,,
QQQ buy & hold,Walk-forward,2022-04-01,2026-09-24,110.10262794700054,18.110609144719515,0.8458092300026582,-29.073268651722984,,,,
QQQ buy & hold,Never-seen 2022-04 → 2024-09,2022-04-01,2024-09-16,32.63313110069455,12.226263867423338,0.6074000946051937,-29.073268651722984,,,,
QQQ buy & hold,Last 2 years,2024-09-24,2026-09-24,54.23196187384241,24.297398999231845,1.1091530895226516,-22.769075479457168,,,,
QQQ buy & hold,Last 1 year,2025-09-24,2026-09-24,24.909406549695802,24.909406549695802,1.2177768488792244,-11.964285714285694,,,,
SPY buy & hold,Walk-forward,2022-04-01,2026-09-24,79.58469114829686,14.026816321021496,0.8530171227700867,-21.285402036925085,,,,
SPY buy & hold,Never-seen 2022-04 → 2024-09,2022-04-01,2024-09-16,28.381120484595467,10.742646802458754,0.6676150318966906,-21.285402036925085,,,,
SPY buy & hold,Last 2 years,2024-09-24,2026-09-24,37.39142892960117,17.288286124886334,1.047753150425328,-18.754263088722144,,,,
SPY buy & hold,Last 1 year,2025-09-24,2026-09-24,17.30401675815354,17.30401675815354,1.2965029002000465,-8.880258524497542,,,,
Variant: earnings_block_days=None,Walk-forward,2022-04-01,2026-09-24,414.0722569345008,44.34811340648339,1.3716350512549433,-32.19383214572162,1032.0,46.04105571847507,-0.6886175049440446,6.0
Variant: earnings_block_days=None,Never-seen 2022-04 → 2024-09,2022-04-01,2024-09-16,33.19619633804138,12.420608305966363,0.5957529206177088,-29.331728307011208,,,,
Variant: earnings_block_days=None,Last 2 years,2024-09-24,2026-09-24,267.4606509760548,92.19024395504975,2.020392425124979,-32.193832145721615,,,,
Variant: earnings_block_days=None,Last 1 year,2025-09-24,2026-09-24,54.38236800082419,54.38236800082419,1.4117193485659,-22.67112443257654,,,,
