Symbol,Valuation_Score,Profitability_Score,Growth_Score,Debt_Score,Earnings_Quality_Score,Efficiency_Score,Margin_Quality_Score,Return_Quality_Score,Fundamental_Weight
AAPL,2.4,10,7,-4,10,8,8,10,5.35
ABNB,-4.31,10,7,-1,10,4,8,9,3.87
ACHR,10.0,-7,0,10,-2,-6,-8,-8,1.3
ADBE,6.25,10,7,4,3,6,10,10,6.81
ADSK,-3.79,8,7,-1,2,6,8,8,2.85
AFRM,-3.59,8,10,2,10,2,8,7,4.35
AMD,-3.75,5,10,10,10,2,8,4,4.76
AMZN,4.68,9,7,8,10,4,7,8,7.17
ANET,-4.09,10,10,8,10,0,10,10,5.68
APH,2.12,9,10,8,8,4,5,9,6.73
APP,6.06,10,10,1,10,6,10,10,7.46
ARM,-1.75,7,10,10,10,0,8,5,5.61
ASML,-3.74,10,10,4,10,4,10,10,5.36
ASTS,-5.0,-7,10,8,-10,-6,-8,-8,-2.05
AVAV,6.98,-7,3,8,10,2,-4,-8,2.5
AVGO,-3.98,10,10,8,10,0,10,10,5.7
AXON,-5.0,0,10,4,-10,0,3,0,0.0
BAC,7.88,5,7,-10,10,-4,10,1,3.87
BBAI,10.0,-7,7,10,10,-4,-4,-8,3.85
BIIB,-2.8,1,3,8,-10,0,8,0,0.55
BKR,-4.15,7,-5,4,-4,4,3,6,0.46
BLK,2.34,6,7,2,-10,-4,8,4,2.54
CBRE,2.15,3,7,2,10,8,-1,4,4.04
CDNS,-4.06,10,10,8,10,2,10,8,5.68
CDW,5.95,6,3,-7,2,8,2,8,3.19
CELH,-2.72,1,7,8,-10,4,4,2,1.27
CIFR,-5.0,-7,-5,10,-10,-4,-8,-8,-3.9
COF,7.32,2,10,-10,10,-2,5,2,3.48
COIN,-3.94,-7,-5,4,-10,-4,0,-8,-4.14
CRCL,-3.15,4,3,-10,10,-2,2,1,0.01
CRM,6.82,8,7,8,10,0,8,6,7.26
CRSP,10.0,-7,10,10,10,-6,-8,-8,4.0
CRWD,-1.75,0,10,4,10,2,0,-2,2.66
CRWV,5.66,-7,10,-10,-10,0,0,-8,-1.39
CSGP,1.05,0,10,10,-10,-2,0,-2,2.06
CTSH,8.47,8,3,10,-10,6,5,7,5.57
CVLT,-5.0,6,7,-4,-7,6,6,7,0.65
CVNA,-4.36,8,10,2,10,10,2,9,4.36
