Strategy,Max per sector,CAGR %,Total Return %,Sharpe,Max DD %,Turnover x/yr,Trades,"Win Rate % (closed, net)",Avg win %,Avg loss %,Never-seen CAGR %,Never-seen Total Return %,Never-seen Sharpe,Never-seen Max DD %,Seen CAGR %,Seen Total Return %,Seen Sharpe,Seen Max DD %,Last-12m CAGR %,Last-12m Total Return %,Last-12m Sharpe,Last-12m Max DD %,Cap binds (% of weekly decisions),Biggest sector: avg names,Biggest sector: max names,Robust Sharpe @0.2%/side,Robust Sharpe start 2022-07,Robust Sharpe start 2023-01,Robust Sharpe start 2023-07,Holdings 2026-09-18 (official),Preview 2026-09-24,P(Sharpe > cap 4),Sharpe diff vs cap 4: 90% range,P(Sharpe > cap 2),Sharpe diff vs cap 2: 90% range,Passes rule vs cap 4 (C6),"Passes rule vs cap 2 (C6b, live)",Identical to none
QQQ buy & hold,,18.1106,110.1026,0.8458,-29.0733,0.224,1,,,,12.2263,32.6331,0.6074,-29.0733,25.2258,57.2356,1.1446,-22.7691,24.0591,24.0591,1.1827,-11.9643,,,,,,,,,,,,,,,,
SPY buy & hold,,14.0268,79.5847,0.853,-21.2854,0.224,1,,,,10.7426,28.3811,0.6676,-21.2854,17.8617,39.186,1.0791,-18.7543,16.5843,16.5843,1.2475,-8.8803,,,,,,,,,,,,,,,,
cap 2,2.0,42.6044,386.9474,1.477,-23.6547,36.4764,789,43.6457,12.0761,-7.7288,25.4669,74.2769,1.0557,-20.734,66.181,177.8362,1.9112,-23.6547,8.3776,8.3776,0.4415,-20.904,97.4359,2.0,2.0,1.3398,1.5874,1.7373,1.7853,COIN GOOGL GTLB HOOD IREN META MRK TEAM TEM TSLA,BIIB COIN HOOD IREN META SHOP TEAM TEM TSLA TWLO,0.599,-0.25 to +0.34,,,True,—,False
cap 3,3.0,40.9985,362.9607,1.3256,-29.7634,39.5896,848,44.2721,11.4884,-7.6412,14.2078,38.4403,0.6593,-23.6238,80.9686,229.8172,1.9352,-29.7634,9.0266,9.0266,0.453,-25.267,83.7607,2.9744,3.0,1.1906,1.4005,1.5181,1.6015,ANET BIIB COIN GTLB HOOD IREN META MRK TEAM TEM,AMD BIIB COIN HOOD META MRK SHOP TEAM TEM TWLO,0.1155,-0.33 to +0.05,0.14,-0.49 to +0.10,False,False,False
cap 4,4.0,46.6574,451.7841,1.4707,-28.5835,39.7878,848,46.0621,11.1607,-7.7087,22.2782,63.6313,0.9244,-22.3251,81.6414,232.2888,1.9856,-28.5835,25.8989,25.8989,0.9604,-23.4404,57.265,3.812,4.0,1.3338,1.5543,1.6745,1.6884,ANET COIN FTNT GTLB HOOD IREN META MRK TEAM TEM,AMD BIIB COIN HOOD META MRK TEAM TEM TWLO ZS,,,0.401,-0.34 to +0.25,—,False,False
cap 5,5.0,46.0464,441.6032,1.4299,-30.3603,40.841,861,46.5335,10.5978,-7.6809,18.098,50.2724,0.7819,-22.4013,87.7496,255.1526,2.0303,-30.3603,46.1188,46.1188,1.4026,-19.6293,39.7436,4.3846,5.0,1.2928,1.508,1.6338,1.7114,ANET COIN FTNT GTLB HOOD META MRK TEAM TEM TWLO,AMD BIIB HOOD META MRK PANW TEAM TEM TWLO ZS,0.308,-0.20 to +0.13,0.314,-0.42 to +0.22,False,False,False
cap 6,6.0,49.8304,507.059,1.4926,-30.2782,40.6638,855,46.0355,10.7993,-7.6651,18.707,52.1768,0.7972,-23.8094,97.4644,293.093,2.1309,-30.2782,56.8316,56.8316,1.5473,-19.4738,27.3504,4.7821,6.0,1.359,1.5721,1.7202,1.8187,AMD ANET FTNT GTLB HOOD META MRK TEAM TEM TWLO,AMD BIIB GTLB HOOD META PANW TEAM TEM TWLO ZS,0.5185,-0.19 to +0.24,0.439,-0.40 to +0.33,False,False,False
cap 7,7.0,54.2638,591.3813,1.5731,-30.2782,40.3281,844,47.482,10.4189,-7.8854,20.9018,59.1584,0.8613,-22.1685,106.0071,328.0566,2.2283,-30.2782,66.1898,66.1898,1.6858,-16.4894,20.5128,5.0556,7.0,1.4423,1.6548,1.8022,1.8738,AMD ANET FTNT GTLB HOOD MRK MU TEAM TEM TWLO,AMD BIIB FTNT GTLB META PANW TEAM TEM TWLO ZS,0.763,-0.12 to +0.38,0.6025,-0.32 to +0.45,False,False,False
cap 8,8.0,55.7786,622.18,1.5882,-30.2782,40.1996,838,46.8599,10.7271,-7.7696,20.0075,56.2914,0.8327,-22.1685,112.4291,355.3271,2.2741,-30.2782,77.4593,77.4593,1.8086,-15.7161,13.2479,5.2607,8.0,1.4596,1.6698,1.8177,1.8927,AMD ANET FTNT GTLB HOOD MU SMCI TEAM TEM TWLO,AMD FTNT GTLB META MU PANW TEAM TEM TWLO ZS,0.7385,-0.13 to +0.43,0.6105,-0.33 to +0.49,False,False,False
none (top 10),10.0,58.8661,688.2474,1.639,-30.2782,39.5911,827,47.4908,10.6193,-7.9126,19.4757,54.6011,0.8195,-22.1685,123.0783,402.4153,2.3716,-30.2782,91.589,91.589,1.9664,-14.6469,0.0,5.4402,10.0,1.5136,1.722,1.8735,1.9594,AMD ANET FTNT GTLB MU SMCI SNOW TEAM TEM TWLO,AMD FTNT GTLB META MU PANW TEAM TEM TWLO ZS,0.781,-0.14 to +0.56,0.659,-0.32 to +0.60,False,False,True
