Strategy,Start,End,Days,Total Return %,CAGR %,Sharpe,Sortino,Max DD %,Calmar,Exposure %,Time in Market %,Return per Invested Day (bp),Turnover x/yr,Trades,Closed Trades,"Win Rate % (closed, net)","Avg Trade % (closed, net)",Period,Family,Params
E: SPY buy & hold,2024-09-17,2025-09-16,250,18.13,18.287,0.956,1.454,-18.754,0.975,100.0,100.0,7.412,1.007,1,0,,,IS,Benchmark,
E: SPY buy & hold,2025-09-17,2026-09-24,257,17.705,17.332,1.306,1.923,-8.88,1.952,100.0,100.0,6.673,0.98,1,0,,,OOS,Benchmark,
E: SPY buy & hold,2024-09-17,2026-09-24,507,39.186,17.862,1.079,1.623,-18.754,0.952,100.0,100.0,7.057,0.497,1,0,,,Full,Benchmark,
E: QQQ buy & hold,2024-09-17,2025-09-16,250,24.696,24.916,1.06,1.605,-22.769,1.094,100.0,100.0,9.918,1.007,1,0,,,IS,Benchmark,
E: QQQ buy & hold,2025-09-17,2026-09-24,257,25.986,25.422,1.246,1.847,-11.964,2.125,100.0,100.0,9.764,0.98,1,0,,,OOS,Benchmark,
E: QQQ buy & hold,2024-09-17,2026-09-24,507,57.236,25.226,1.145,1.716,-22.769,1.108,100.0,100.0,9.857,0.497,1,0,,,Full,Benchmark,
E: EW universe buy & hold,2024-09-17,2025-09-16,250,102.705,103.854,1.881,2.886,-37.137,2.797,100.0,100.0,31.893,1.007,75,0,,,IS,Benchmark,"75 stocks alive at start (late IPOs excluded), no rebalancing"
E: EW universe buy & hold,2025-09-17,2026-09-24,257,24.002,23.484,0.794,1.136,-25.519,0.92,100.0,100.0,10.629,0.98,78,0,,,OOS,Benchmark,"78 stocks alive at start (late IPOs excluded), no rebalancing"
E: EW universe buy & hold,2024-09-17,2026-09-24,507,143.295,55.569,1.228,1.809,-37.137,1.496,100.0,100.0,21.346,0.497,75,0,,,Full,Benchmark,"75 stocks alive at start (late IPOs excluded), no rebalancing"
E: EW universe daily-rebalanced (reference),2024-09-17,2025-09-16,250,99.081,100.18,2.085,3.209,-31.457,3.185,100.0,100.0,30.196,7.373,78,0,,,IS,Benchmark,rebalanced to equal weight every day (NOT buy & hold)
E: EW universe daily-rebalanced (reference),2025-09-17,2026-09-24,257,23.735,23.224,0.824,1.199,-26.74,0.868,100.0,100.0,10.224,7.576,78,0,,,OOS,Benchmark,rebalanced to equal weight every day (NOT buy & hold)
E: EW universe daily-rebalanced (reference),2024-09-17,2026-09-24,507,146.263,56.51,1.49,2.236,-31.457,1.796,100.0,100.0,20.067,6.988,78,0,,,Full,Benchmark,rebalanced to equal weight every day (NOT buy & hold)
A: Current rules 20/-25 (1/N slots),2024-09-17,2025-09-16,250,52.736,53.255,1.831,2.717,-22.569,2.36,69.667,100.0,26.124,7.204,313,251,28.685,2.514,IS,A,"buy>20, sell<-25"
A: Current rules 20/-25 (1/N slots),2025-09-17,2026-09-24,257,7.263,7.117,0.424,0.582,-18.017,0.395,62.762,100.0,5.856,8.599,367,325,20.615,-2.161,OOS,A,"buy>20, sell<-25"
A: Current rules 20/-25 (1/N slots),2024-09-17,2026-09-24,507,63.93,27.848,1.131,1.611,-22.569,1.234,67.686,100.0,16.155,7.503,614,571,29.072,5.554,Full,A,"buy>20, sell<-25"
A-tuned: thresholds 10/-25 (1/N slots),2024-09-17,2025-09-16,250,60.906,61.519,1.947,2.925,-23.104,2.663,73.145,100.0,27.929,8.477,363,300,27.667,2.553,IS,A,"buy>10, sell<-25 (IS-chosen)"
