Strategy,Start,End,Days,Total Return %,CAGR %,Sharpe,Sortino,Max DD %,Calmar,Exposure %,Time in Market %,Return per Invested Day (bp),Turnover x/yr,Trades,Closed Trades,"Win Rate % (closed, net)","Avg Trade % (closed, net)",Segment
QQQ buy & hold,2022-04-01,2026-09-24,1124,110.1026,18.1106,0.8458,1.2313,-29.0733,0.6229,100.0,100.0,7.6295,0.224,1,0,,,WF stitched
QQQ buy & hold,2022-04-01,2024-09-16,617,32.6331,12.2263,0.6074,0.8675,-29.0733,0.4205,100.0,100.0,5.6792,0.408,1,0,,,Never-seen 2022-04→2024-09
QQQ buy & hold,2024-09-17,2026-09-24,507,57.2356,25.2258,1.1446,1.7158,-22.7691,1.1079,100.0,100.0,9.8569,0.4965,1,0,,,Seen 2024-09→now
SPY buy & hold,2022-04-01,2026-09-24,1124,79.5847,14.0268,0.853,1.2442,-21.2854,0.659,100.0,100.0,5.7884,0.224,1,0,,,WF stitched
SPY buy & hold,2022-04-01,2024-09-16,617,28.3811,10.7426,0.6676,0.9542,-21.2854,0.5047,100.0,100.0,4.6648,0.408,1,0,,,Never-seen 2022-04→2024-09
SPY buy & hold,2024-09-17,2026-09-24,507,39.186,17.8617,1.0791,1.6228,-18.7543,0.9524,100.0,100.0,7.0574,0.4965,1,0,,,Seen 2024-09→now
"C0 current (top10, w=0.5, weekly)",2022-04-01,2026-09-24,1124,454.8302,46.8386,1.3969,2.1007,-32.964,1.4209,100.0,100.0,17.1541,43.5671,849,839,46.4839,1.1533,WF stitched
"C0 current (top10, w=0.5, weekly)",2022-04-01,2024-09-16,617,57.7025,20.4489,0.8072,1.1797,-22.3251,0.916,100.0,100.0,8.9223,43.5955,461,451,44.7894,-0.315,Never-seen 2022-04→2024-09
"C0 current (top10, w=0.5, weekly)",2024-09-17,2026-09-24,507,246.6846,85.5111,1.9754,3.0393,-32.964,2.5941,100.0,100.0,26.8803,44.0292,398,388,47.9381,2.7108,Seen 2024-09→now
C1 rank buffer 15,2022-04-01,2026-09-24,1124,301.2438,36.5475,1.1587,1.7417,-35.0235,1.0435,100.0,100.0,14.2781,31.3098,575,565,40.708,-0.1761,WF stitched
C1 rank buffer 15,2022-04-01,2024-09-16,617,36.1643,13.4371,0.5968,0.8726,-24.6629,0.5448,100.0,100.0,6.4913,31.364,314,304,39.8026,-1.5591,Never-seen 2022-04→2024-09
C1 rank buffer 15,2024-09-17,2026-09-24,507,194.7568,71.1366,1.7133,2.6296,-35.0235,2.0311,100.0,100.0,23.7598,31.7356,271,261,41.3793,1.05,Seen 2024-09→now
C2 12-1 momentum,2022-04-01,2026-09-24,1124,388.7843,42.7248,1.1784,1.7077,-39.5765,1.0796,100.0,100.0,16.6477,34.2092,638,628,41.5605,0.2784,WF stitched
