Strategy,Start,End,Days,Total Return %,CAGR %,Sharpe,Sortino,Max DD %,Calmar,Exposure %,Time in Market %,Return per Invested Day (bp),Turnover x/yr,Trades,Closed Trades,"Win Rate % (closed, net)","Avg Trade % (closed, net)",Segment,"Avg win % (closed, net)","Avg loss % (closed, net)",Median hold (sessions)
QQQ buy & hold,2022-04-01,2026-09-24,1124,110.1026,18.1106,0.8458,1.2313,-29.0733,0.6229,100.0,100.0,7.6295,0.224,1,0,,,WF stitched,,,
QQQ buy & hold,2022-04-01,2024-09-16,617,32.6331,12.2263,0.6074,0.8675,-29.0733,0.4205,100.0,100.0,5.6792,0.408,1,0,,,Never-seen 2022-04→2024-09,,,
QQQ buy & hold,2024-09-17,2026-09-24,507,57.2356,25.2258,1.1446,1.7158,-22.7691,1.1079,100.0,100.0,9.8569,0.4965,1,0,,,Seen 2024-09→now,,,
QQQ buy & hold,2025-09-24,2026-09-24,252,24.0591,24.0591,1.1827,1.7506,-11.9643,2.0109,100.0,100.0,9.342,0.999,1,0,,,Last 12m,,,
SPY buy & hold,2022-04-01,2026-09-24,1124,79.5847,14.0268,0.853,1.2442,-21.2854,0.659,100.0,100.0,5.7884,0.224,1,0,,,WF stitched,,,
SPY buy & hold,2022-04-01,2024-09-16,617,28.3811,10.7426,0.6676,0.9542,-21.2854,0.5047,100.0,100.0,4.6648,0.408,1,0,,,Never-seen 2022-04→2024-09,,,
SPY buy & hold,2024-09-17,2026-09-24,507,39.186,17.8617,1.0791,1.6228,-18.7543,0.9524,100.0,100.0,7.0574,0.4965,1,0,,,Seen 2024-09→now,,,
SPY buy & hold,2025-09-24,2026-09-24,252,16.5843,16.5843,1.2475,1.8344,-8.8803,1.8675,100.0,100.0,6.4238,0.999,1,0,,,Last 12m,,,
"C6 current (cap 4, weekly top-10)",2022-04-01,2026-09-24,1124,451.7841,46.6574,1.4707,2.2336,-28.5835,1.6323,87.7852,100.0,19.2074,39.7878,848,838,46.0621,0.983,WF stitched,11.1607,-7.7087,9.6658
"C6 current (cap 4, weekly top-10)",2022-04-01,2024-09-16,617,63.6313,22.2782,0.9244,1.3781,-22.3251,0.9979,82.8298,100.0,11.1549,38.2087,461,451,44.3459,-0.3701,Never-seen 2022-04→2024-09,8.2638,-7.2497,9.6658
"C6 current (cap 4, weekly top-10)",2024-09-17,2026-09-24,507,232.2888,81.6414,1.9856,3.0535,-28.5835,2.8562,93.8159,100.0,27.5488,42.206,397,387,47.5452,2.4101,Seen 2024-09→now,14.2172,-8.2919,8.9753
"C6 current (cap 4, weekly top-10)",2025-09-24,2026-09-24,252,25.8989,25.8989,0.9604,1.4105,-23.4404,1.1049,97.2214,100.0,11.0135,42.1613,204,194,41.7526,-0.0597,Last 12m,10.8661,-7.8915,9.3205
