Date,Symbol,Status,Reason,Rank,Score,Sector,Old_Weight,New_Weight,Check,Regime_On
2024-07-12,AAPL,not selected,skipped: sector cap (Technology already 4),8.0,55.2576,Technology,0.0,0.0,weekly,1
2024-07-12,ANET,not selected,skipped: sector cap (Technology already 4),13.0,52.1369,Technology,0.0,0.0,weekly,1
2024-07-12,AVGO,not selected,skipped: sector cap (Technology already 4),7.0,56.5382,Technology,0.0,0.0,weekly,1
2024-07-12,CVLT,not selected,skipped: sector cap (Technology already 4),10.0,54.214,Technology,0.0,0.0,weekly,1
2024-07-12,LRCX,not selected,skipped: sector cap (Technology already 4),19.0,42.1175,Technology,0.0,0.0,weekly,1
2024-07-12,NVDA,add,selected (rank 4),4.0,58.2147,Technology,0.0,0.0804,weekly,1
2024-07-12,ORCL,not selected,skipped: sector cap (Technology already 4),11.0,53.8485,Technology,0.0,0.0,weekly,1
2024-07-12,RCL,add,selected (rank 16),16.0,47.4768,Consumer Discretionary,0.0,0.1582,weekly,1
2024-07-12,TSLA,add,selected (rank 14),14.0,51.1533,Consumer Discretionary,0.0,0.0686,weekly,1
2024-07-12,UI,add,selected (rank 6; sector cap relaxed: fewer than 10 fit the cap within the top 20),6.0,56.6713,Technology,0.0,0.1236,weekly,1
2024-07-12,APLD,not selected,skipped: sector cap (Technology already 4),17.0,46.9989,Technology,0.0,0.0,weekly,1
2024-07-12,ARM,add,selected (rank 1),1.0,64.1585,Technology,0.0,0.058,weekly,1
2024-07-12,ASTS,add,selected (rank 9),9.0,54.7948,Communication Services,0.0,0.0206,weekly,1
2024-07-12,CIFR,not selected,skipped: sector cap (Technology already 4),18.0,44.8333,Technology,0.0,0.0,weekly,1
2024-07-12,CVNA,add,selected (rank 2),2.0,63.7619,Consumer Discretionary,0.0,0.0506,weekly,1
2024-07-12,SOUN,not selected,skipped: sector cap (Technology already 4),12.0,53.6021,Technology,0.0,0.0,weekly,1
2024-07-12,TRGP,add,selected (rank 20),20.0,42.0367,Energy,0.0,0.2384,weekly,1
2024-07-12,CRDO,not selected,skipped: sector cap (Technology already 4),15.0,50.1676,Technology,0.0,0.0,weekly,1
2024-07-12,LITE,add,selected (rank 5),5.0,57.3672,Technology,0.0,0.1147,weekly,1
2024-07-12,CLS,add,selected (rank 3),3.0,61.6947,Technology,0.0,0.0869,weekly,1
2024-07-19,BKR,add,selected (rank 9),9.0,44.1973,Energy,0.0,0.1951,weekly,1
2024-07-19,HOOD,hold,selected (rank 5),5.0,55.4635,Financials,0.058,0.0868,weekly,1
2024-07-19,RCL,drop,rank 12 outside top 10,12.0,40.3399,Consumer Discretionary,0.1582,0.0,weekly,1
2024-07-19,TSLA,drop,rank 13 outside top 10,13.0,38.9798,Consumer Discretionary,0.0686,0.0,weekly,1
2024-07-19,UI,hold,selected (rank 7),7.0,51.4688,Technology,0.1236,0.1408,weekly,1
2024-07-19,ASTS,hold,selected (rank 4),4.0,57.5436,Communication Services,0.0206,0.0234,weekly,1
2024-07-19,CIFR,hold,selected (rank 1),1.0,59.402,Technology,0.2384,0.0447,weekly,1
2024-07-19,CVNA,hold,selected (rank 8),8.0,46.4477,Consumer Discretionary,0.0506,0.0581,weekly,1
2024-07-19,JOBY,add,selected (rank 10),10.0,43.75,Industrials,0.0,0.0737,weekly,1
2024-07-19,MARA,hold,selected (rank 2),2.0,58.8694,Technology,0.0869,0.0505,weekly,1
2024-07-19,MSTR,add,selected (rank 6),6.0,52.2496,Technology,0.0,0.0514,weekly,1
2024-07-19,TRGP,add,selected (rank 3),3.0,57.6061,Energy,0.0,0.2754,weekly,1
2024-07-19,LITE,drop,rank 20 outside top 10,20.0,28.6018,Technology,0.1147,0.0,weekly,1
2024-07-26,BKR,hold,selected (rank 5),5.0,50.2179,Energy,0.1951,0.1391,weekly,1
2024-07-26,CVLT,add,selected (rank 8),8.0,46.9966,Technology,0.0,0.1568,weekly,1
2024-07-26,HOOD,drop,rank 34 worse than 20 (picks only from ranks 1-20),34.0,16.2045,Financials,0.0868,0.0,weekly,1
2024-07-26,UI,hold,selected (rank 2),2.0,55.9957,Technology,0.1408,0.1062,weekly,1
2024-07-26,UNH,hold,selected (rank 4),4.0,51.3305,Health Care,0.0505,0.1499,weekly,1
2024-07-26,LMT,add,selected (rank 6),6.0,48.3929,Industrials,0.0,0.2344,weekly,1
2024-07-26,ASTS,hold,selected (rank 1),1.0,64.4771,Communication Services,0.0234,0.0179,weekly,1
2024-07-26,CIFR,hold,selected (rank 7),7.0,47.1545,Technology,0.0447,0.0364,weekly,1
2024-07-26,CVNA,hold,selected (rank 3),3.0,52.2499,Consumer Discretionary,0.0581,0.0449,weekly,1
2024-07-26,JOBY,drop,rank 11 outside top 10,11.0,45.6482,Industrials,0.0737,0.0,weekly,1
2024-07-26,MSTR,hold,selected (rank 10),10.0,45.9484,Technology,0.0514,0.0408,weekly,1
2024-07-26,RKLB,add,selected (rank 9),9.0,46.5588,Industrials,0.0,0.0736,weekly,1
2024-07-26,TRGP,drop,rank 30 worse than 20 (picks only from ranks 1-20),30.0,22.8055,Energy,0.2754,0.0,weekly,1
2024-08-02,BKR,drop,rank 13 outside top 10,13.0,30.5842,Energy,0.1391,0.0,weekly,1
2024-08-02,CVLT,hold,selected (rank 6),6.0,55.6556,Technology,0.1568,0.0471,weekly,1
2024-08-02,MCK,add,selected (rank 3),3.0,61.0986,Health Care,0.0,0.1702,weekly,1
2024-08-02,REGN,add,selected (rank 4),4.0,60.1258,Health Care,0.0,0.1616,weekly,1
2024-08-02,UI,hold,selected (rank 8),8.0,43.2062,Technology,0.1062,0.0639,weekly,1
2024-08-02,UNH,hold,selected (rank 2),2.0,63.0966,Health Care,0.1499,0.0964,weekly,1
2024-08-02,NOC,add,selected (rank 10),10.0,39.0717,Industrials,0.0,0.1287,weekly,1
2024-08-02,LMT,hold,selected (rank 5),5.0,59.2898,Industrials,0.2344,0.1519,weekly,1
2024-08-02,ASTS,hold,selected (rank 1),1.0,78.5866,Communication Services,0.0179,0.0114,weekly,1
2024-08-02,CIFR,drop,rank 19 outside top 10,19.0,9.7888,Technology,0.0364,0.0,weekly,1
2024-08-02,CVNA,hold,selected (rank 7),7.0,53.0265,Consumer Discretionary,0.0449,0.043,weekly,1
2024-08-02,MSTR,drop,rank 18 outside top 10,18.0,14.0643,Technology,0.0408,0.0,weekly,1
2024-08-02,RKLB,drop,rank 17 outside top 10,17.0,22.4177,Industrials,0.0736,0.0,weekly,1
2024-08-02,TRGP,add,selected (rank 9),9.0,39.2293,Energy,0.0,0.1258,weekly,1
2024-08-09,CVLT,hold,selected (rank 5),5.0,57.3433,Technology,0.0471,0.056,weekly,1
2024-08-09,MCK,drop,rank 31 worse than 20 (picks only from ranks 1-20),31.0,10.2542,Health Care,0.1702,0.0,weekly,1
2024-08-09,REGN,hold,selected (rank 4),4.0,59.6201,Health Care,0.1616,0.1801,weekly,1
2024-08-09,UI,hold,selected (rank 8),8.0,49.6973,Technology,0.0639,0.0753,weekly,1
2024-08-09,UNH,hold,selected (rank 9),9.0,49.1766,Health Care,0.0964,0.1127,weekly,1
2024-08-09,UPST,add,selected (rank 2),2.0,64.1485,Financials,0.0,0.0295,weekly,1
2024-08-09,NOC,hold,selected (rank 10),10.0,46.4089,Industrials,0.1287,0.157,weekly,1
2024-08-09,LMT,hold,selected (rank 3),3.0,63.4404,Industrials,0.1519,0.1823,weekly,1
2024-08-09,ASTS,hold,selected (rank 1),1.0,77.0997,Communication Services,0.0114,0.0139,weekly,1
2024-08-09,CVNA,hold,selected (rank 7),7.0,49.9235,Consumer Discretionary,0.043,0.0522,weekly,1
2024-08-09,TRGP,hold,selected (rank 6),6.0,57.0544,Energy,0.1258,0.141,weekly,1
2024-08-16,CVLT,hold,selected (rank 3),3.0,64.459,Technology,0.056,0.0843,weekly,1
2024-08-16,FTNT,add,selected (rank 9),9.0,47.3712,Technology,0.0,0.0844,weekly,1
2024-08-16,NVDA,add,selected (rank 6),6.0,48.9526,Technology,0.0,0.0717,weekly,1
2024-08-16,REGN,hold,selected (rank 5),5.0,59.437,Health Care,0.1801,0.2536,weekly,1
2024-08-16,UI,hold,selected (rank 4),4.0,63.653,Technology,0.0753,0.1271,weekly,1
2024-08-16,UNH,hold,selected (rank 8),8.0,47.9272,Health Care,0.1127,0.1677,weekly,1
2024-08-16,UPST,hold,selected (rank 2),2.0,65.4002,Financials,0.0295,0.0442,weekly,1
2024-08-16,NOC,drop,rank 23 worse than 20 (picks only from ranks 1-20),23.0,37.2552,Industrials,0.157,0.0,weekly,1
2024-08-16,LMT,drop,rank 14 outside top 10,14.0,44.4132,Industrials,0.1823,0.0,weekly,1
2024-08-16,ASTS,hold,selected (rank 1),1.0,66.9526,Communication Services,0.0139,0.0228,weekly,1
2024-08-16,CVNA,hold,selected (rank 10),10.0,47.1751,Consumer Discretionary,0.0522,0.0732,weekly,1
2024-08-16,RKLB,add,selected (rank 7),7.0,48.7262,Industrials,0.0,0.071,weekly,1
2024-08-16,TRGP,drop,rank 15 outside top 10,15.0,43.4162,Energy,0.141,0.0,weekly,1
2024-08-23,ANET,not selected,skipped: sector cap (Technology already 4),10.0,52.2427,Technology,0.0,0.0,weekly,1
2024-08-23,APP,add,selected (rank 3),3.0,62.1993,Communication Services,0.0,0.1133,weekly,1
2024-08-23,CVLT,hold,selected (rank 4),4.0,61.4566,Technology,0.0843,0.1118,weekly,1
2024-08-23,DASH,add,selected (rank 12),12.0,50.4402,Communication Services,0.0,0.1728,weekly,1
2024-08-23,FTNT,drop,rank 24 worse than 20 (picks only from ranks 1-20),24.0,36.7153,Technology,0.0844,0.0,weekly,1
2024-08-23,NVDA,hold,selected (rank 6),6.0,58.0349,Technology,0.0717,0.0969,weekly,1
2024-08-23,REGN,drop,rank 14 outside top 10,14.0,48.9321,Health Care,0.2536,0.0,weekly,1
2024-08-23,UI,hold,selected (rank 5),5.0,59.6541,Technology,0.1271,0.155,weekly,1
2024-08-23,UNH,drop,rank 22 worse than 20 (picks only from ranks 1-20),22.0,38.7801,Health Care,0.1677,0.0,weekly,1
2024-08-23,UPST,hold,selected (rank 2),2.0,67.8702,Financials,0.0442,0.0576,weekly,1
2024-08-23,ASTS,hold,selected (rank 1),1.0,77.3529,Communication Services,0.0228,0.0301,weekly,1
2024-08-23,CVNA,hold,selected (rank 8),8.0,56.6179,Consumer Discretionary,0.0732,0.0979,weekly,1
2024-08-23,RKLB,hold,selected (rank 9),9.0,54.8375,Industrials,0.071,0.0886,weekly,1
2024-08-23,CRDO,add,selected (rank 7),7.0,57.8507,Technology,0.0,0.076,weekly,1
2024-08-23,LITE,not selected,skipped: sector cap (Technology already 4),11.0,51.7569,Technology,0.0,0.0,weekly,1
2024-08-30,AFRM,add,selected (rank 9),9.0,53.7155,Financials,0.0,0.0445,weekly,1
2024-08-30,APP,hold,selected (rank 11),11.0,51.8321,Communication Services,0.1133,0.0745,weekly,1
2024-08-30,AVAV,not selected,skipped: sector cap (Industrials already 4),10.0,53.3343,Industrials,0.0,0.0,weekly,1
2024-08-30,CVLT,hold,selected (rank 8),8.0,54.7796,Technology,0.1118,0.074,weekly,1
2024-08-30,DASH,drop,rank 25 worse than 20 (picks only from ranks 1-20),25.0,36.8946,Communication Services,0.1728,0.0,weekly,1
2024-08-30,NVDA,drop,rank 44 worse than 20 (picks only from ranks 1-20),44.0,18.2152,Technology,0.0969,0.0,weekly,1
2024-08-30,UI,hold,selected (rank 7),7.0,56.3065,Technology,0.155,0.0872,weekly,1
2024-08-30,UPST,hold,selected (rank 1),1.0,81.7254,Financials,0.0576,0.0378,weekly,1
2024-08-30,NOC,add,selected (rank 5),5.0,57.7615,Industrials,0.0,0.2214,weekly,1
2024-08-30,LMT,add,selected (rank 3),3.0,62.3382,Industrials,0.0,0.2622,weekly,1
2024-08-30,ASTS,hold,selected (rank 6),6.0,57.4442,Communication Services,0.0301,0.0261,weekly,1
2024-08-30,CVNA,drop,rank 24 worse than 20 (picks only from ranks 1-20),24.0,39.2985,Consumer Discretionary,0.0979,0.0,weekly,1
2024-08-30,RKLB,hold,selected (rank 2),2.0,63.4528,Industrials,0.0886,0.0569,weekly,1
2024-08-30,PH,add,selected (rank 4),4.0,58.1202,Industrials,0.0,0.1153,weekly,1
2024-08-30,CRDO,drop,rank 17 outside top 10,17.0,46.6616,Technology,0.076,0.0,weekly,1
2024-09-06,AFRM,hold,selected (rank 4),4.0,55.2916,Financials,0.0445,0.0372,weekly,1
2024-09-06,APP,drop,rank 15 outside top 10,15.0,32.9404,Communication Services,0.0745,0.0,weekly,1
2024-09-06,CVLT,drop,rank 27 worse than 20 (picks only from ranks 1-20),27.0,16.6096,Technology,0.074,0.0,weekly,1
2024-09-06,ORCL,add,selected (rank 9),9.0,40.5897,Technology,0.0,0.0975,weekly,1
2024-09-06,UI,hold,selected (rank 10),10.0,38.6351,Technology,0.0872,0.0741,weekly,1
2024-09-06,UNH,add,selected (rank 1),1.0,61.0799,Health Care,0.0,0.1359,weekly,1
2024-09-06,UPST,hold,selected (rank 8),8.0,41.2733,Financials,0.0378,0.0313,weekly,1
2024-09-06,NOC,hold,selected (rank 6),6.0,51.8644,Industrials,0.2214,0.188,weekly,1
2024-09-06,LMT,hold,selected (rank 2),2.0,56.1114,Industrials,0.2622,0.2179,weekly,1
2024-09-06,ASTS,hold,selected (rank 7),7.0,50.0114,Communication Services,0.0261,0.0213,weekly,1
2024-09-06,RKLB,hold,selected (rank 3),3.0,55.8309,Industrials,0.0569,0.047,weekly,1
2024-09-06,TRGP,add,selected (rank 5),5.0,52.3596,Energy,0.0,0.1496,weekly,1
2024-09-06,PH,drop,rank 13 outside top 10,13.0,33.6085,Industrials,0.1153,0.0,weekly,1
2024-09-13,AFRM,hold,selected (rank 2),2.0,66.1492,Financials,0.0372,0.0693,weekly,1
2024-09-13,APP,hold,selected (rank 5),5.0,62.7841,Communication Services,0.188,0.0976,weekly,1
2024-09-13,HOOD,add,selected (rank 10),10.0,51.843,Financials,0.0,0.1161,weekly,1
2024-09-13,ORCL,drop,rank 18 outside top 10,18.0,42.6621,Technology,0.0975,0.0,weekly,1
2024-09-13,SOFI,add,selected (rank 8),8.0,55.0443,Financials,0.0,0.1303,weekly,1
2024-09-13,TSLA,hold,selected (rank 4),4.0,64.9345,Consumer Discretionary,0.1496,0.0955,weekly,1
2024-09-13,UI,hold,selected (rank 7),7.0,56.1419,Technology,0.0741,0.1351,weekly,1
2024-09-13,UNH,drop,rank 14 outside top 10,14.0,49.3684,Health Care,0.1359,0.0,weekly,1
2024-09-13,UPST,hold,selected (rank 3),3.0,65.8105,Financials,0.0313,0.0579,weekly,1
2024-09-13,LMT,drop,rank 13 outside top 10,13.0,49.516,Industrials,0.2179,0.0,weekly,1
2024-09-13,ASTS,hold,selected (rank 6),6.0,57.6616,Communication Services,0.0213,0.0391,weekly,1
2024-09-13,RKLB,hold,selected (rank 1),1.0,77.7926,Industrials,0.047,0.081,weekly,1
2024-09-13,PH,add,selected (rank 9),9.0,52.0848,Industrials,0.0,0.1782,weekly,1
2024-09-20,AFRM,hold,selected (rank 1),1.0,77.8949,Financials,0.0693,0.0529,weekly,1
2024-09-20,APP,hold,selected (rank 3),3.0,72.9016,Communication Services,0.0976,0.0731,weekly,1
2024-09-20,HOOD,drop,rank 24 worse than 20 (picks only from ranks 1-20),24.0,42.8198,Financials,0.1161,0.0,weekly,1
2024-09-20,RCL,add,selected (rank 7),7.0,61.1498,Consumer Discretionary,0.0,0.1141,weekly,1
