Symbol,Strategy %,Buy & Hold % (from first open),Max DD %,Exposure %,Closed trades,"Win rate % (closed, net)",First bar,Beat B&H
AAPL,22.9,56.7,-22.6,69.8,9,44.4,2023-06-01,False
ADBE,-36.4,-54.5,-39.4,19.1,9,11.1,2023-06-01,True
AFRM,29.8,58.9,-40.7,68.8,7,42.9,2023-06-01,False
AMZN,-18.1,33.2,-36.7,71.4,8,25.0,2023-06-01,False
ANET,42.9,125.0,-38.9,74.4,7,28.6,2023-06-01,False
AMD,320.6,309.0,-33.7,63.1,5,60.0,2023-06-01,True
APP,161.3,163.9,-49.8,62.3,6,50.0,2023-06-01,False
AVAV,18.2,-7.9,-50.3,42.2,6,33.3,2023-06-01,True
AVGO,84.2,115.7,-29.5,72.4,7,57.1,2023-06-01,False
BIIB,34.5,13.0,-18.0,58.0,5,20.0,2023-06-01,True
BKR,32.7,74.8,-36.8,78.5,6,50.0,2023-06-01,False
CDNS,-14.4,16.4,-33.9,54.2,10,30.0,2023-06-01,False
COIN,-33.5,21.1,-55.4,45.6,9,22.2,2023-06-01,False
CRM,2.0,-6.6,-44.1,39.6,6,16.7,2023-06-01,True
CRWV,-55.5,130.6,-61.0,16.2,6,16.7,2025-03-28,False
CVLT,-14.7,-1.4,-47.9,59.4,7,14.3,2023-06-01,False
DASH,54.7,42.5,-27.1,68.6,7,42.9,2023-06-01,True
ENPH,-14.9,-70.8,-45.4,23.7,4,25.0,2023-06-01,True
FIG,-40.5,-74.9,-42.2,8.7,3,0.0,2025-07-31,True
FTNT,79.5,134.3,-45.3,67.5,11,9.1,2023-06-01,False
GOOGL,61.9,116.4,-28.6,72.0,8,37.5,2023-06-01,False
GTLB,55.6,-9.0,-35.2,47.7,6,16.7,2023-06-01,True
HAL,0.3,20.5,-31.1,53.5,9,11.1,2023-06-01,False
HIMS,7.1,77.1,-73.1,56.8,8,37.5,2023-06-01,False
HOOD,284.4,434.8,-53.6,69.2,6,50.0,2023-06-01,False
INTU,-22.0,-56.7,-28.5,34.9,11,18.2,2023-06-01,True
IREN,182.9,484.5,-59.4,61.1,7,28.6,2023-06-01,False
LRCX,131.0,302.9,-47.5,70.4,7,28.6,2023-06-01,False
MCK,42.6,68.5,-14.4,75.0,3,66.7,2023-06-01,False
MRK,37.2,32.5,-16.4,53.8,5,20.0,2023-06-01,True
META,21.6,45.3,-36.6,54.4,7,28.6,2023-06-01,False
MRVL,191.8,251.1,-47.9,71.0,7,71.4,2023-06-01,False
MSFT,2.1,14.7,-24.4,53.3,10,20.0,2023-06-01,False
MU,344.4,1132.3,-55.3,74.2,8,12.5,2023-06-01,False
NFLX,-7.8,2.1,-40.8,60.6,8,25.0,2023-06-01,False
NOW,7.1,-22.8,-37.5,47.3,8,25.0,2023-06-01,True
NVDA,19.5,90.2,-29.3,75.1,10,30.0,2023-06-01,False
ORCL,10.2,-16.4,-34.9,49.9,8,12.5,2023-06-01,True
PANW,117.0,124.1,-20.3,67.3,5,40.0,2023-06-01,False
RCL,42.1,44.0,-35.8,65.3,8,25.0,2023-06-01,False
REGN,23.9,-30.3,-20.5,45.4,5,20.0,2023-06-01,True
SLB,-18.6,33.6,-42.8,57.8,11,9.1,2023-06-01,False
SNOW,192.4,192.2,-26.5,64.3,4,50.0,2023-06-01,True
SOFI,130.5,104.5,-45.3,62.5,7,28.6,2023-06-01,True
TEAM,77.6,20.2,-52.4,41.2,7,14.3,2023-06-01,True
TSLA,31.3,64.4,-36.0,59.8,9,44.4,2023-06-01,False
