As_Of,Last_Rebalance,Last_Decision,Strategy,Regime_On,Symbol,Sector,Held,Strategy_Weight,Provisional_Weight,Strategy_Score,Strategy_Rank,Technical_Score,RS_Score,Close,Next_Earnings
2026-09-24,2026-09-18,2026-09-21,"C6: weekly top-10 ranking, max 4 per sector + soft QQQ regime (expanded universe, 96 stocks) [picks from ranks 1-20 only; sector cap relaxed to fill the 10 slots; top-3 swaps ignore the cap] + mid-week swap (Mon/Wed close: top 3 in, below rank 15 out) + mid-week exit (sell if worse than rank 30, cash until Friday)",1,MRK,Health Care,1,0.1604,0.0,35.2859,30.0,60.2941,10.2778,147.98,2026-10-29
2026-09-24,2026-09-18,2026-09-21,"C6: weekly top-10 ranking, max 4 per sector + soft QQQ regime (expanded universe, 96 stocks) [picks from ranks 1-20 only; sector cap relaxed to fill the 10 slots; top-3 swaps ignore the cap] + mid-week swap (Mon/Wed close: top 3 in, below rank 15 out) + mid-week exit (sell if worse than rank 30, cash until Friday)",1,FTNT,Technology,1,0.1283,0.0,57.4918,9.0,64.7059,50.2778,178.67,2026-11-03
2026-09-24,2026-09-18,2026-09-21,"C6: weekly top-10 ranking, max 4 per sector + soft QQQ regime (expanded universe, 96 stocks) [picks from ranks 1-20 only; sector cap relaxed to fill the 10 slots; top-3 swaps ignore the cap] + mid-week swap (Mon/Wed close: top 3 in, below rank 15 out) + mid-week exit (sell if worse than rank 30, cash until Friday)",1,GTLB,Technology,1,0.1037,0.0,61.9526,7.0,60.2941,63.6111,48.62,2026-12-07
2026-09-24,2026-09-18,2026-09-21,"C6: weekly top-10 ranking, max 4 per sector + soft QQQ regime (expanded universe, 96 stocks) [picks from ranks 1-20 only; sector cap relaxed to fill the 10 slots; top-3 swaps ignore the cap] + mid-week swap (Mon/Wed close: top 3 in, below rank 15 out) + mid-week exit (sell if worse than rank 30, cash until Friday)",1,ANET,Technology,1,0.1013,0.0,46.9649,16.0,63.2353,30.6944,205.7,2026-11-02
2026-09-24,2026-09-18,2026-09-21,"C6: weekly top-10 ranking, max 4 per sector + soft QQQ regime (expanded universe, 96 stocks) [picks from ranks 1-20 only; sector cap relaxed to fill the 10 slots; top-3 swaps ignore the cap] + mid-week swap (Mon/Wed close: top 3 in, below rank 15 out) + mid-week exit (sell if worse than rank 30, cash until Friday)",1,TWLO,Technology,1,0.0905,0.0949,66.9771,2.0,66.1765,67.7778,299.66,2026-10-28
2026-09-24,2026-09-18,2026-09-21,"C6: weekly top-10 ranking, max 4 per sector + soft QQQ regime (expanded universe, 96 stocks) [picks from ranks 1-20 only; sector cap relaxed to fill the 10 slots; top-3 swaps ignore the cap] + mid-week swap (Mon/Wed close: top 3 in, below rank 15 out) + mid-week exit (sell if worse than rank 30, cash until Friday)",1,RBRK,Technology,1,0.0793,0.0879,67.6144,1.0,69.1176,66.1111,113.8,
2026-09-24,2026-09-18,2026-09-21,"C6: weekly top-10 ranking, max 4 per sector + soft QQQ regime (expanded universe, 96 stocks) [picks from ranks 1-20 only; sector cap relaxed to fill the 10 slots; top-3 swaps ignore the cap] + mid-week swap (Mon/Wed close: top 3 in, below rank 15 out) + mid-week exit (sell if worse than rank 30, cash until Friday)",1,HOOD,Financials,1,0.0775,0.0875,44.8366,19.0,69.1176,20.5556,120.82,2026-11-03
2026-09-24,2026-09-18,2026-09-21,"C6: weekly top-10 ranking, max 4 per sector + soft QQQ regime (expanded universe, 96 stocks) [picks from ranks 1-20 only; sector cap relaxed to fill the 10 slots; top-3 swaps ignore the cap] + mid-week swap (Mon/Wed close: top 3 in, below rank 15 out) + mid-week exit (sell if worse than rank 30, cash until Friday)",1,TEM,Health Care,1,0.062,0.0694,58.5335,8.0,64.7059,52.3611,82.24,2026-11-02
2026-09-24,2026-09-18,2026-09-21,"C6: weekly top-10 ranking, max 4 per sector + soft QQQ regime (expanded universe, 96 stocks) [picks from ranks 1-20 only; sector cap relaxed to fill the 10 slots; top-3 swaps ignore the cap] + mid-week swap (Mon/Wed close: top 3 in, below rank 15 out) + mid-week exit (sell if worse than rank 30, cash until Friday)",1,TEAM,Technology,1,0.0602,0.0678,65.2002,3.0,64.7059,65.6944,192.61,2026-10-26
2026-09-24,2026-09-18,2026-09-21,"C6: weekly top-10 ranking, max 4 per sector + soft QQQ regime (expanded universe, 96 stocks) [picks from ranks 1-20 only; sector cap relaxed to fill the 10 slots; top-3 swaps ignore the cap] + mid-week swap (Mon/Wed close: top 3 in, below rank 15 out) + mid-week exit (sell if worse than rank 30, cash until Friday)",1,AMD,Technology,0,0.0,0.0915,64.5997,4.0,70.5882,58.6111,629.26,2026-11-02
2026-09-24,2026-09-18,2026-09-21,"C6: weekly top-10 ranking, max 4 per sector + soft QQQ regime (expanded universe, 96 stocks) [picks from ranks 1-20 only; sector cap relaxed to fill the 10 slots; top-3 swaps ignore the cap] + mid-week swap (Mon/Wed close: top 3 in, below rank 15 out) + mid-week exit (sell if worse than rank 30, cash until Friday)",1,PANW,Technology,0,0.0,0.1022,63.1413,5.0,70.5882,55.6944,389.92,2026-11-17
2026-09-24,2026-09-18,2026-09-21,"C6: weekly top-10 ranking, max 4 per sector + soft QQQ regime (expanded universe, 96 stocks) [picks from ranks 1-20 only; sector cap relaxed to fill the 10 slots; top-3 swaps ignore the cap] + mid-week swap (Mon/Wed close: top 3 in, below rank 15 out) + mid-week exit (sell if worse than rank 30, cash until Friday)",1,ZS,Technology,0,0.0,0.1045,63.1413,6.0,70.5882,55.6944,214.64,2026-11-23
2026-09-24,2026-09-18,2026-09-21,"C6: weekly top-10 ranking, max 4 per sector + soft QQQ regime (expanded universe, 96 stocks) [picks from ranks 1-20 only; sector cap relaxed to fill the 10 slots; top-3 swaps ignore the cap] + mid-week swap (Mon/Wed close: top 3 in, below rank 15 out) + mid-week exit (sell if worse than rank 30, cash until Friday)",1,META,Communication Services,0,0.0,0.1283,54.1993,10.0,66.1765,42.2222,777.59,2026-10-27
2026-09-24,2026-09-18,2026-09-21,"C6: weekly top-10 ranking, max 4 per sector + soft QQQ regime (expanded universe, 96 stocks) [picks from ranks 1-20 only; sector cap relaxed to fill the 10 slots; top-3 swaps ignore the cap] + mid-week swap (Mon/Wed close: top 3 in, below rank 15 out) + mid-week exit (sell if worse than rank 30, cash until Friday)",1,BIIB,Health Care,0,0.0,0.166,46.3889,17.0,75.0,17.7778,226.36,2026-10-28
