BUY >,SELL <,Period,CAGR %,Sharpe,Max DD %,Exposure %,Trades
10,-15,IS,59.0,1.924,-21.257,71.608,428
10,-15,OOS,7.109,0.419,-18.913,65.1,530
10,-25,IS,61.519,1.947,-23.104,73.145,363
10,-25,OOS,7.6,0.435,-19.037,67.484,451
10,-35,IS,62.068,1.879,-25.326,76.689,288
10,-35,OOS,13.322,0.607,-21.275,74.929,372
20,-15,IS,53.446,1.865,-21.043,67.936,357
20,-15,OOS,6.882,0.419,-18.212,60.508,418
20,-25,IS,53.255,1.831,-22.569,69.667,313
20,-25,OOS,7.117,0.424,-18.017,62.762,367
20,-35,IS,52.769,1.733,-25.126,73.608,256
20,-35,OOS,12.961,0.608,-20.623,70.352,309
30,-15,IS,48.945,1.78,-20.677,65.078,306
30,-15,OOS,7.663,0.461,-17.896,56.857,353
30,-25,IS,48.76,1.748,-22.074,66.742,275
30,-25,OOS,8.364,0.486,-17.647,59.255,313
30,-35,IS,47.098,1.619,-24.916,70.977,232
30,-35,OOS,14.478,0.673,-20.347,66.652,265
40,-15,IS,46.688,1.784,-19.208,61.174,251
40,-15,OOS,8.652,0.521,-16.911,52.365,285
40,-25,IS,46.631,1.753,-20.549,62.826,231
40,-25,OOS,8.702,0.515,-16.849,54.602,259
40,-35,IS,44.307,1.594,-23.838,67.457,204
40,-35,OOS,14.588,0.695,-19.371,62.115,217
