Window,Start close,End close,Strategy,Total return %,Max DD in window %,Excess vs QQQ (pts),Table,2022 (from Apr 1) %,2023 %,2024 %,2025 %,2026 YTD %
last 1y,2025-09-24,2026-09-24,cap 2 (live C6b),9.386,-20.904,-15.524,window,,,,,
last 1y,2025-09-24,2026-09-24,cap 4 (C6),27.166,-23.44,2.257,window,,,,,
last 1y,2025-09-24,2026-09-24,cap 5,48.271,-19.629,23.362,window,,,,,
last 1y,2025-09-24,2026-09-24,cap 6,58.797,-19.474,33.888,window,,,,,
last 1y,2025-09-24,2026-09-24,cap 7,69.575,-16.489,44.666,window,,,,,
last 1y,2025-09-24,2026-09-24,cap 8,81.075,-15.716,56.165,window,,,,,
last 1y,2025-09-24,2026-09-24,no cap,95.492,-14.647,70.583,window,,,,,
last 1y,2025-09-24,2026-09-24,QQQ buy & hold,24.909,-11.964,0.0,window,,,,,
last 1y,2025-09-24,2026-09-24,SPY buy & hold,17.304,-8.88,-7.605,window,,,,,
last 1y,2025-09-24,2026-09-24,EW buy & hold universe (78 stocks),19.858,-25.392,-5.051,window,,,,,
last 2y,2024-09-24,2026-09-24,cap 2 (live C6b),168.955,-23.655,114.723,window,,,,,
last 2y,2024-09-24,2026-09-24,cap 4 (C6),220.939,-28.584,166.707,window,,,,,
last 2y,2024-09-24,2026-09-24,cap 5,243.022,-30.36,188.79,window,,,,,
last 2y,2024-09-24,2026-09-24,cap 6,279.666,-30.278,225.434,window,,,,,
last 2y,2024-09-24,2026-09-24,cap 7,313.436,-30.278,259.204,window,,,,,
last 2y,2024-09-24,2026-09-24,cap 8,339.775,-30.278,285.543,window,,,,,
last 2y,2024-09-24,2026-09-24,no cap,385.255,-30.278,331.023,window,,,,,
last 2y,2024-09-24,2026-09-24,QQQ buy & hold,54.232,-22.769,0.0,window,,,,,
last 2y,2024-09-24,2026-09-24,SPY buy & hold,37.391,-18.754,-16.841,window,,,,,
last 2y,2024-09-24,2026-09-24,EW buy & hold universe (75 stocks),136.837,-37.349,82.605,window,,,,,
,,,cap 2 (live C6b),,,,calendar year,-8.963,41.49,142.668,58.15,-1.495
,,,cap 4 (C6),,,,calendar year,-4.619,32.334,142.025,62.965,10.836
,,,no cap,,,,calendar year,-6.552,32.335,133.615,63.619,66.758
,,,QQQ buy & hold,,,,calendar year,-26.097,54.853,25.578,20.773,21.051
,,,SPY buy & hold,,,,calendar year,-14.618,26.177,24.885,17.719,13.388
