Symbol,Trades,Below_buy_pct,Win_rate_net,Avg_return,Best,Worst,Sum_PnL_pct_portfolio,Median_weeks
RCL,22,54.55,40.91,-0.62,10.72,-10.3,0.47,1.0
NFLX,21,57.14,38.1,-0.41,13.61,-10.24,-0.54,1.0
HOOD,21,42.86,52.38,2.93,51.22,-28.23,9.8,2.0
AVAV,20,70.0,30.0,-1.24,23.02,-17.24,6.24,2.0
VRT,19,36.84,52.63,1.59,21.32,-20.41,5.31,3.0
LMT,19,52.63,42.11,-0.59,4.84,-7.12,1.23,1.0
SMCI,18,61.11,27.78,4.05,75.8,-14.86,3.98,2.0
SHOP,18,66.67,33.33,-3.2,5.71,-15.93,-5.14,1.0
APP,18,38.89,50.0,2.95,52.37,-17.35,25.25,2.0
GOOGL,18,27.78,66.67,0.44,9.65,-10.2,4.21,2.0
SLB,18,72.22,27.78,-4.82,8.19,-20.28,-8.05,2.0
NVDA,17,47.06,52.94,2.75,30.72,-7.66,7.05,2.0
ANET,16,50.0,50.0,-0.07,8.74,-10.0,0.53,1.0
REGN,16,62.5,31.25,-0.91,8.08,-12.2,0.36,2.5
ASTS,16,75.0,25.0,-2.49,37.6,-20.87,2.67,2.0
DASH,16,37.5,62.5,-0.26,9.0,-14.53,-1.35,1.5
HIMS,16,25.0,68.75,3.71,32.4,-19.75,5.67,2.5
BKR,16,62.5,31.25,-4.02,7.55,-19.83,-2.33,2.0
MCK,16,31.25,62.5,-0.04,13.88,-13.91,-0.43,3.0
BIIB,15,40.0,60.0,0.08,6.63,-9.27,0.57,2.0
UBER,15,60.0,40.0,-0.47,18.43,-12.39,0.65,1.0
RKLB,15,33.33,60.0,7.4,42.39,-21.74,13.14,3.0
AMD,15,40.0,60.0,4.12,23.17,-14.83,5.82,1.0
NOC,14,50.0,50.0,-0.44,7.25,-5.47,-0.36,2.0
HAL,14,78.57,21.43,-3.28,12.81,-16.15,-1.61,2.0
JOBY,13,53.85,38.46,1.98,34.45,-20.29,5.54,2.0
META,13,53.85,38.46,0.81,20.71,-16.89,8.27,1.0
MRK,13,23.08,76.92,1.92,11.36,-5.2,4.43,3.0
CVNA,13,30.77,69.23,16.0,157.17,-17.74,12.45,3.0
APLD,13,61.54,38.46,-3.53,30.24,-21.51,0.76,1.0
AFRM,13,61.54,38.46,2.24,62.18,-28.03,1.63,2.0
MSTR,12,41.67,58.33,9.48,52.39,-41.17,9.18,2.5
TSLA,12,58.33,33.33,-2.0,10.45,-15.5,-0.05,1.5
CIFR,12,75.0,25.0,-1.75,147.85,-43.13,4.24,2.0
LRCX,12,50.0,50.0,-0.79,22.77,-10.66,-0.48,1.0
ACHR,12,75.0,16.67,-11.34,18.85,-43.02,-3.94,2.0
UNH,12,50.0,50.0,-0.36,7.89,-13.27,1.83,2.0
MU,12,50.0,41.67,9.0,80.62,-18.84,8.37,2.0
SOFI,11,36.36,63.64,4.42,32.32,-15.21,8.49,1.0
IONQ,11,54.55,45.45,10.0,154.78,-30.75,9.45,2.0
IREN,11,54.55,45.45,17.68,167.53,-16.18,11.92,2.0
AVGO,11,45.45,54.55,-1.19,6.53,-8.92,0.54,1.0
UI,11,36.36,63.64,6.94,49.64,-19.97,11.56,2.0
FTNT,10,60.0,30.0,-2.46,2.24,-12.59,-2.66,1.0
CVLT,10,60.0,40.0,-3.61,3.65,-18.07,-1.0,2.0
AMZN,10,60.0,40.0,-1.95,9.3,-8.1,-3.69,1.0
NVTS,10,50.0,50.0,1.89,71.46,-36.49,4.22,1.0
PANW,9,55.56,44.44,-1.21,8.29,-12.02,-0.15,2.0
ZS,9,55.56,44.44,-0.51,23.29,-19.93,5.03,2.0
TWLO,8,75.0,25.0,-2.24,25.27,-15.46,0.08,1.0
COIN,8,62.5,37.5,2.21,21.77,-12.93,3.48,2.0
ORCL,8,25.0,75.0,3.17,15.56,-10.89,2.32,2.0
VEEV,7,14.29,85.71,2.47,11.5,-15.3,1.56,3.0
UPST,7,42.86,57.14,-2.89,22.29,-38.53,2.8,3.0
UMAC,6,83.33,16.67,-4.27,40.98,-18.44,-1.64,1.0
SNOW,6,33.33,66.67,4.88,19.8,-6.92,1.84,1.5
TEM,6,66.67,33.33,-1.69,12.3,-13.81,-1.49,1.0
SOUN,6,50.0,33.33,3.25,43.1,-33.14,3.27,2.0
ARM,6,83.33,16.67,-5.49,14.44,-15.72,-2.16,1.5
U,6,33.33,66.67,-0.79,18.98,-23.49,0.43,2.0
MDB,6,50.0,50.0,-0.1,15.88,-10.71,0.14,2.0
MRVL,6,66.67,33.33,7.9,77.0,-9.79,2.07,2.5
CDNS,5,20.0,80.0,3.55,10.02,-5.45,1.38,1.0
ALAB,5,40.0,60.0,6.39,61.2,-23.48,2.54,2.0
MARA,5,40.0,60.0,6.93,39.89,-18.53,3.54,2.0
TEAM,5,60.0,40.0,-1.87,9.64,-19.17,-0.38,1.0
ADBE,4,75.0,25.0,-0.92,6.73,-6.89,-0.03,2.0
NOW,4,25.0,75.0,0.57,6.27,-6.18,0.57,1.0
ENPH,4,50.0,25.0,-5.38,2.82,-13.61,-0.12,3.0
GTLB,4,50.0,50.0,-6.24,7.8,-21.84,-0.08,1.0
RDDT,4,50.0,50.0,1.18,11.91,-9.81,1.17,3.5
INTU,3,33.33,66.67,2.69,5.98,-1.29,1.41,1.0
MSFT,2,0.0,100.0,3.14,5.8,0.47,0.92,1.5
AAPL,2,50.0,50.0,-2.2,2.95,-7.36,-0.45,2.5
CRM,1,100.0,0.0,-0.54,-0.54,-0.54,-0.08,1.0
