Metric,WF 2022-04-01→2026-09-24,Last 12m (exits since 2025-09-24),Table,Group,Trades,% of trades,Win rate %,Avg return %,Median return %,Sum P&L (% of portfolio),% below buy price (raw)
Round trips (closed),838.0,194.0,summary,,,,,,,,
Open at end,10.0,,summary,,,,,,,,
% exits below buy price (raw open→open),51.074,54.639,summary,,,,,,,,
% losing trades (net of costs),53.938,57.216,summary,,,,,,,,
Win rate % (net),46.062,42.784,summary,,,,,,,,
Avg win %,11.161,14.491,summary,,,,,,,,
Avg loss %,-7.709,-7.972,summary,,,,,,,,
Payoff ratio,1.448,1.818,summary,,,,,,,,
Profit factor (portfolio P&L),1.78,1.635,summary,,,,,,,,
Expectancy % per trade,0.983,1.639,summary,,,,,,,,
Expectancy bp of portfolio per trade,22.935,21.981,summary,,,,,,,,
Median hold (weeks),2.0,2.0,summary,,,,,,,,
Mean hold (weeks),2.715,2.655,summary,,,,,,,,
Top 10% trades share of net P&L %,151.395,177.986,summary,,,,,,,,
Top 10% trades share of gross profit %,66.353,69.12,summary,,,,,,,,
Exits re-bought within 4 wk,389.0,92.0,summary,,,,,,,,
% of exits re-bought within 4 wk,46.42,47.423,summary,,,,,,,,
Churn: avg re-buy vs sell price %,9.172,9.095,summary,,,,,,,,
"Churn cost total (% of portfolio, summed)",279.409,69.559,summary,,,,,,,,
Churn cost from trading costs only (% of portfolio),7.064,1.826,summary,,,,,,,,
,,,WF 2022-04-01→2026-09-24 | by Hold bucket,1 wk,381.0,45.465,35.433,-2.856,-2.395,-78.377,63.517
,,,WF 2022-04-01→2026-09-24 | by Hold bucket,2–3 wk,261.0,31.146,42.146,-1.811,-1.913,-9.267,55.556
,,,WF 2022-04-01→2026-09-24 | by Hold bucket,4–8 wk,160.0,19.093,67.5,7.897,3.998,150.915,25.0
,,,WF 2022-04-01→2026-09-24 | by Hold bucket,9+ wk,36.0,4.296,91.667,31.135,14.554,128.927,2.778
,,,WF 2022-04-01→2026-09-24 | by Exit reason,rank drift (score > 0),643.0,76.73,45.723,0.968,-0.981,150.85,51.011
,,,WF 2022-04-01→2026-09-24 | by Exit reason,score <= 0,58.0,6.921,3.448,-12.283,-12.042,-38.626,93.103
,,,WF 2022-04-01→2026-09-24 | by Exit reason,sector cap displacement,137.0,16.348,65.693,6.672,3.411,79.975,33.577
,,,Last 12m (exits since 2025-09-24) | by Hold bucket,1 wk,85.0,43.814,22.353,-5.066,-4.066,-27.643,76.471
,,,Last 12m (exits since 2025-09-24) | by Hold bucket,2–3 wk,65.0,33.505,44.615,-0.387,-0.562,-4.352,52.308
,,,Last 12m (exits since 2025-09-24) | by Hold bucket,4–8 wk,35.0,18.041,74.286,8.138,2.868,34.413,20.0
,,,Last 12m (exits since 2025-09-24) | by Hold bucket,9+ wk,9.0,4.639,100.0,54.318,21.321,40.225,0.0
,,,Last 12m (exits since 2025-09-24) | by Exit reason,rank drift (score > 0),134.0,69.072,38.806,-0.581,-2.494,11.373,58.209
,,,Last 12m (exits since 2025-09-24) | by Exit reason,score <= 0,13.0,6.701,7.692,-9.698,-10.28,-10.422,92.308
,,,Last 12m (exits since 2025-09-24) | by Exit reason,sector cap displacement,47.0,24.227,63.83,11.104,3.411,41.693,34.043
