Symbol,Entry,Exit,Entry_Open,Exit_Open,Return_net_%,PnL_%_of_equity_at_entry,Sessions,Weeks,Hold bucket,Reason,Exit_Rank,Exit_Score,Below_buy_price_raw,Rebought_4w,Next_Entry,Next_Entry_Open,Churn_cost_%_equity
NOC,2022-04-01,2022-04-04,415.21,423.44,1.7784,0.0783,1,1,1 wk,rank drift (score > 0),12.0,41.3338,False,True,2022-04-11,433.62,0.1164
LMT,2022-04-01,2022-04-04,392.74,397.41,0.9869,0.0538,1,1,1 wk,rank drift (score > 0),16.0,37.8311,False,True,2022-04-11,411.9,0.2112
PANW,2022-04-01,2022-04-04,103.55,102.69,-1.0287,-0.0311,1,1,1 wk,rank drift (score > 0),11.0,42.73,True,True,2022-04-11,100.32,-0.0628
ENPH,2022-04-04,2022-04-11,207.27,191.0,-8.0338,-0.1625,5,1,1 wk,rank drift (score > 0),12.0,39.0555,True,False,2022-06-06,211.0,
ANET,2022-04-04,2022-04-11,34.87,32.25,-7.6984,-0.3035,5,1,1 wk,rank drift (score > 0),15.0,29.2293,True,False,2022-08-22,31.88,
SLB,2022-04-01,2022-04-11,37.16,38.46,3.2916,0.1113,6,1,1 wk,rank drift (score > 0),13.0,35.0193,False,True,2022-04-25,36.08,-0.2023
PANW,2022-04-11,2022-04-18,100.32,103.53,2.9936,0.0877,4,1,1 wk,rank drift (score > 0),12.0,51.1721,False,True,2022-05-02,93.04,-0.2999
AVAV,2022-04-01,2022-04-25,94.29,86.02,-8.9531,-0.1382,15,3,2–3 wk,rank drift (score > 0),12.0,36.5638,True,True,2022-05-23,84.16,-0.0394
BKR,2022-04-01,2022-04-25,33.18,28.01,-15.7503,-0.5267,15,3,2–3 wk,rank drift (score > 0),15.0,12.0684,True,True,2022-05-09,28.62,0.0678
SLB,2022-04-25,2022-05-02,36.08,34.58,-4.3489,-0.144,5,1,1 wk,rank drift (score > 0),14.0,9.6785,True,True,2022-05-09,37.74,0.2988
TSLA,2022-04-25,2022-05-02,326.32,286.92,-12.2497,-0.299,5,1,1 wk,score <= 0,,-28.1352,True,False,2022-07-25,272.22,
RCL,2022-04-18,2022-05-02,79.24,75.18,-5.2598,-0.1564,10,2,2–3 wk,rank drift (score > 0),17.0,1.022,True,False,2022-09-19,48.3,
REGN,2022-04-04,2022-05-09,693.46,606.94,-12.2044,-0.8506,24,5,4–8 wk,rank drift (score > 0),13.0,8.2361,True,True,2022-05-16,634.2,0.304
ACHR,2022-05-02,2022-05-09,4.57,3.74,-18.3254,-0.2944,5,1,1 wk,score <= 0,,-6.457,True,True,2022-05-16,3.79,0.0202
PANW,2022-05-02,2022-05-09,93.04,82.02,-12.0205,-0.3964,5,1,1 wk,score <= 0,,-8.097,True,False,2022-09-06,89.0,
UNH,2022-04-01,2022-05-16,469.46,446.23,-4.6566,-0.323,30,6,4–8 wk,rank drift (score > 0),13.0,17.6165,True,True,2022-05-23,447.04,0.0274
HAL,2022-04-01,2022-05-16,34.64,33.03,-3.8137,-0.1282,30,6,4–8 wk,rank drift (score > 0),12.0,23.2066,True,True,2022-05-23,33.78,0.0936
JOBY,2022-05-09,2022-05-23,5.15,5.24,1.5376,0.0268,10,2,2–3 wk,rank drift (score > 0),11.0,23.1422,False,True,2022-06-06,6.01,0.2626
ACHR,2022-05-16,2022-05-23,3.79,3.49,-8.0996,-0.1498,5,1,1 wk,score <= 0,,-6.8024,True,True,2022-06-06,4.98,0.7264
LMT,2022-04-11,2022-05-23,411.9,379.62,-6.7321,-0.4268,29,6,4–8 wk,rank drift (score > 0),12.0,20.9619,True,True,2022-05-31,395.9,0.2746
UNH,2022-05-23,2022-05-31,447.04,462.97,3.3565,0.2309,5,1,1 wk,rank drift (score > 0),13.0,45.5615,False,True,2022-06-27,454.67,-0.1109
MCK,2022-04-01,2022-06-06,299.7,309.98,2.7635,0.3442,44,9,9+ wk,rank drift (score > 0),12.0,36.6203,False,True,2022-06-13,303.23,-0.1266
REGN,2022-05-16,2022-06-06,634.2,619.63,-2.4926,-0.0936,14,3,2–3 wk,rank drift (score > 0),26.0,3.6498,True,False,2022-09-12,713.62,
LMT,2022-05-31,2022-06-06,395.9,396.63,-0.0158,-0.001,4,1,1 wk,rank drift (score > 0),11.0,41.9784,False,False,2022-07-05,379.62,
JOBY,2022-06-06,2022-06-13,6.01,4.8,-20.2927,-0.5323,5,1,1 wk,rank drift (score > 0),14.0,9.0647,True,False,2022-07-18,5.4,
SLB,2022-05-09,2022-06-21,37.74,34.3,-12.9947,-0.4014,29,6,4–8 wk,score <= 0,,-5.3558,True,False,2022-10-10,38.5,
HAL,2022-05-23,2022-06-21,33.78,29.92,-14.8593,-0.5608,19,4,4–8 wk,rank drift (score > 0),14.0,1.7367,True,False,2022-10-17,27.69,
SMCI,2022-05-02,2022-06-21,4.213,4.43,-1.039,0.1693,34,7,4–8 wk,rank drift (score > 0),13.0,3.1085,False,False,2022-07-25,5.106,
BKR,2022-05-09,2022-06-21,28.62,27.73,-8.9787,-0.2971,29,6,4–8 wk,score <= 0,,-5.7381,True,False,2022-11-14,28.36,
HIMS,2022-06-21,2022-06-27,4.35,4.6,5.5358,0.1634,4,1,1 wk,sector cap displacement,9.0,23.3845,False,True,2022-07-05,4.69,0.0655
AVAV,2022-05-23,2022-06-27,84.16,83.52,-4.3549,-0.1278,23,5,4–8 wk,rank drift (score > 0),18.0,10.0101,True,True,2022-07-05,84.7,0.0516
BIIB,2022-06-21,2022-07-05,204.22,208.98,2.1264,0.1233,9,2,2–3 wk,sector cap displacement,9.0,41.3545,False,False,2022-10-03,269.0,
CDNS,2022-06-27,2022-07-05,157.25,148.98,-5.4484,-0.2138,5,1,1 wk,rank drift (score > 0),17.0,6.5656,True,True,2022-07-11,158.87,0.2558
ACHR,2022-06-06,2022-07-05,4.98,2.83,-43.0218,-0.8922,19,4,4–8 wk,score <= 0,,-21.4075,True,False,2022-08-08,4.4,
LMT,2022-07-05,2022-07-11,379.62,373.46,-1.8192,-0.1378,4,1,1 wk,rank drift (score > 0),29.0,0.8781,True,False,2022-08-22,391.88,
VEEV,2022-06-21,2022-07-11,189.46,208.23,9.6875,0.3412,13,3,2–3 wk,sector cap displacement,11.0,39.8203,False,True,2022-07-18,204.29,-0.0546
AVAV,2022-07-05,2022-07-11,84.7,82.63,-2.6388,-0.0781,4,1,1 wk,rank drift (score > 0),28.0,1.2311,True,True,2022-08-01,85.87,0.1178
