Strategy,Universe,Max per sector,CAGR %,Total Return %,Sharpe,Max DD %,Turnover x/yr,Trades,"Win Rate % (closed, net)",Never-seen CAGR %,Never-seen Sharpe,Never-seen Max DD %,Seen 2024-09→now CAGR %,Seen 2024-09→now Sharpe,Seen 2024-09→now Max DD %,Last 1y total % (close 2025-09-24→2026-09-24),Last 2y total % (close 2024-09-24→2026-09-24),2022 (from Apr 1) %,2023 %,2024 %,2025 %,2026 YTD %,Note,Robust Sharpe @0.2%/side,Cap binds (% of weekly decisions),Biggest sector: avg names,Avg added names held (of 10),% weeks holding ≥1 added name,Sector mix (% of slot-weeks),Holdings 2026-09-18 (official),Preview 2026-09-24,"P(Sharpe > current universe, cap 4)",Sharpe diff vs current: 90% range,"Passes rule vs current (Sharpe↑, DD within 2pts, never-seen Sharpe ≥)"
QQQ buy & hold,,,18.1106,110.1026,0.8458,-29.0733,0.224,1,,12.2263,0.6074,-29.0733,25.2258,1.1446,-22.7691,24.9094,54.232,-26.0969,54.8527,25.5778,20.7725,21.0513,,,,,,,,,,,,
SPY buy & hold,,,14.0268,79.5847,0.853,-21.2854,0.224,1,,10.7426,0.6676,-21.2854,17.8617,1.0791,-18.7543,17.304,37.3914,-14.6178,26.1768,24.8854,17.7187,13.3875,,,,,,,,,,,,
EW buy & hold Current (78),Current (78),,27.7958,198.6058,0.8608,-35.7584,0.224,68,,19.2204,0.6906,-35.7584,47.3834,1.1765,-34.2692,7.8065,87.3131,-31.5851,76.887,54.2016,38.4735,15.557,68 names alive at start (late listings excluded),,,,,,,,,,,
EW buy & hold U98 fast sectors (+20 = 98),U98 fast sectors (+20 = 98),,26.4392,184.7245,0.8816,-33.8169,0.224,88,,17.2598,0.6784,-31.5622,51.4161,1.2943,-32.7467,13.2923,85.5434,-25.7706,60.8008,47.3864,36.3185,18.7267,88 names alive at start (late listings excluded),,,,,,,,,,,
EW buy & hold U142 all 11 sectors (+64 = 142),U142 all 11 sectors (+64 = 142),,22.6029,148.1651,0.9503,-28.041,0.224,131,,17.3415,0.8174,-25.7277,33.0264,1.2047,-26.1458,9.6619,62.2343,-17.4117,41.9117,40.9839,31.6274,14.1007,131 names alive at start (late listings excluded),,,,,,,,,,,
"C6 rules, cap 2 | Current (78)",Current (78),2.0,42.6044,386.9474,1.477,-23.6547,36.4764,789,43.6457,25.4669,1.0557,-20.734,66.181,1.9112,-23.6547,9.3859,168.9548,-8.9633,41.4903,142.6679,58.15,-1.4952,,1.3398,97.4359,2.0,0.0,0.0,"Technology 20, Communication Services 16, Industrials 16, Consumer Discretionary 14, Health Care 13, Financials 11, Energy 10",COIN GOOGL GTLB HOOD IREN META MRK TEAM TEM TSLA,BIIB COIN HOOD IREN META SHOP TEAM TEM TSLA TWLO,,,
"C6 rules, cap 3 | Current (78)",Current (78),3.0,40.9985,362.9607,1.3256,-29.7634,39.5896,848,44.2721,14.2078,0.6593,-23.6238,80.9686,1.9352,-29.7634,9.9962,218.3822,-5.1922,19.041,147.8656,67.9411,-1.456,,1.1906,83.7607,2.9744,0.0,0.0,"Technology 27, Industrials 16, Communication Services 15, Health Care 14, Consumer Discretionary 11, Financials 9, Energy 9",ANET BIIB COIN GTLB HOOD IREN META MRK TEAM TEM,AMD BIIB COIN HOOD META MRK SHOP TEAM TEM TWLO,,,
"C6 rules, cap 4 | Current (78)",Current (78),4.0,46.6574,451.7841,1.4707,-28.5835,39.7878,848,46.0621,22.2782,0.9244,-22.3251,81.6414,1.9856,-28.5835,27.1665,220.9391,-4.6185,32.3337,142.0247,62.9648,10.8361,,1.3338,57.265,3.812,0.0,0.0,"Technology 33, Industrials 14, Communication Services 14, Health Care 14, Consumer Discretionary 9, Financials 8, Energy 7",ANET COIN FTNT GTLB HOOD IREN META MRK TEAM TEM,AMD BIIB COIN HOOD META MRK TEAM TEM TWLO ZS,,,
"C6 rules, cap 5 | Current (78)",Current (78),5.0,46.0464,441.6032,1.4299,-30.3603,40.841,861,46.5335,18.098,0.7819,-22.4013,87.7496,2.0303,-30.3603,48.2713,243.0219,-5.3919,28.2981,131.346,49.4981,29.0134,,1.2928,39.7436,4.3846,0.0,0.0,"Technology 38, Health Care 14, Industrials 13, Communication Services 13, Consumer Discretionary 7, Financials 7, Energy 7",ANET COIN FTNT GTLB HOOD META MRK TEAM TEM TWLO,AMD BIIB HOOD META MRK PANW TEAM TEM TWLO ZS,,,
"C6 rules, cap none | Current (78)",Current (78),,58.8661,688.2474,1.639,-30.2782,39.5911,827,47.4908,19.4757,0.8195,-22.1685,123.0783,2.3716,-30.2782,95.492,385.2546,-6.552,32.3347,133.6149,63.6188,66.7575,,1.5136,,5.4402,0.0,0.0,"Technology 48, Health Care 11, Industrials 11, Communication Services 11, Financials 6, Energy 6, Consumer Discretionary 6",AMD ANET FTNT GTLB MU SMCI SNOW TEAM TEM TWLO,AMD FTNT GTLB META MU PANW TEAM TEM TWLO ZS,,,
"C6 rules, cap 2 | U98 fast sectors (+20 = 98)",U98 fast sectors (+20 = 98),2.0,45.015,424.7511,1.6389,-23.027,42.7131,942,48.3906,17.8966,0.8591,-22.2532,85.517,2.4072,-23.027,44.9177,231.8717,-8.1703,30.6429,106.5385,80.6396,17.2385,,1.4655,98.2906,2.0,2.3462,88.4615,"Technology 19, Industrials 17, Communication Services 13, Financials 12, Energy 11, Health Care 11, Consumer Discretionary 10, Materials 7",APA COIN FCX GTLB HOOD META MRK TEAM TEM TRGP,BIIB COIN DVN HOOD IREN META SHOP TEAM TEM TWLO,,,
"C6 rules, cap 3 | U98 fast sectors (+20 = 98)",U98 fast sectors (+20 = 98),3.0,41.4124,369.0536,1.4158,-29.9358,44.8577,971,47.6587,12.0978,0.6191,-22.9334,86.757,2.1348,-29.9358,36.1285,237.1532,-8.492,15.0378,128.3761,74.1349,12.0435,,1.2507,80.3419,2.9829,2.2222,81.1966,"Technology 23, Industrials 19, Communication Services 13, Energy 11, Health Care 11, Financials 10, Consumer Discretionary 8, Materials 5",APA COIN FTNT GTLB HOOD META MRK TEAM TEM TRGP,AMD BIIB COIN DVN HOOD META MRK TEAM TEM TWLO,,,
"C6 rules, cap 4 | U98 fast sectors (+20 = 98)",U98 fast sectors (+20 = 98),4.0,37.6119,315.3834,1.3163,-30.6946,44.8757,969,47.1324,13.8572,0.6791,-24.3562,72.4476,1.9035,-30.6946,38.6153,189.3639,-9.4653,19.0278,110.2138,52.1046,20.5541,,1.1512,56.8376,3.7863,2.1453,80.7692,"Technology 28, Industrials 17, Communication Services 12, Energy 11, Financials 10, Health Care 10, Consumer Discretionary 7, Materials 5",ANET APA FTNT GTLB HOOD META MRK TEAM TEM TRGP,AMD BIIB DVN HOOD META MRK PANW TEAM TEM TWLO,0.219,-0.38 to +0.16,False
