Symbol,SentimentScore,Positive,Negative
AAPL,1.5,55,20
ADBE,0.0,14,7
AFRM,-1.9,6,5
AMZN,0.95,32,13
ANET,7.1,24,1
AMD,6.29,26,2
APP,-4.35,15,21
AVAV,3.81,12,2
AVGO,1.44,49,18
BIIB,3.57,7,1
BKR,5.5,13,1
CDNS,1.33,6,2
COIN,-2.08,28,22
CRM,2.77,62,17
CRWV,0.17,58,28
CVLT,1.82,4,1
DASH,0.0,16,8
ENPH,-7.62,0,8
FIG,-1.25,1,1
FTNT,7.62,16,0
GOOGL,-0.71,17,10
GTLB,3.75,3,0
HAL,3.81,12,2
HIMS,-6.5,1,7
HOOD,-2.14,25,20
INTU,-1.56,11,8
IREN,1.67,1,0
LRCX,2.78,9,2
MCK,5.45,6,0
MRK,7.19,25,1
META,-1.18,61,39
MRVL,7.02,46,3
MSFT,1.86,39,13
MU,1.13,96,38
NFLX,-7.4,14,54
NOW,1.92,13,4
NVDA,0.47,20,9
ORCL,-3.82,46,53
PANW,2.13,26,8
RCL,-2.22,8,7
REGN,1.9,10,3
SLB,0.0,0,0
SNOW,2.92,13,3
SOFI,2.93,24,6
TEAM,7.5,15,0
TSLA,-0.2,46,24
UBER,0.0,18,9
UI,4.44,4,0
UNH,3.2,14,3
UPST,-5.26,2,6
VEEV,5.0,11,1
VRT,4.52,20,3
ZS,1.9,10,3
UMAC,-1.25,1,1
NOC,4.38,9,1
MDB,-1.9,6,5
LMT,3.4,31,7
U,-2.14,3,3
CRCL,-2.69,7,7
TWLO,5.81,22,2
ACHR,0.0,8,4
ALAB,5.26,12,1
APLD,2.22,14,4
ARM,4.41,40,7
ASTS,0.0,18,9
CIFR,2.56,22,6
CVNA,4.44,4,0
IONQ,3.6,58,13
JOBY,-2.93,12,12
MARA,-0.62,5,3
MSTR,-0.71,17,10
NVTS,1.0,3,1
RDDT,-1.38,10,7
RKLB,3.55,49,11
SHOP,2.88,31,8
SMCI,1.8,27,9
SOUN,-1.67,5,4
TEM,7.06,12,0
APA,0.0,0,0
OXY,0.0,0,0
TRGP,0.0,0,0
DVN,0.0,0,0
FANG,0.0,0,0
COF,0.0,0,0
C,0.0,0,0
BE,0.0,0,0
BA,0.0,0,0
URI,0.0,0,0
PH,0.0,0,0
FCX,0.0,0,0
LYB,0.0,0,0
CRDO,0.0,0,0
NBIS,0.0,0,0
LITE,0.0,0,0
CLS,0.0,0,0
RBRK,0.0,0,0
QQQ,2.86,2,0
